[GIN] 2025/01/27 - 15:37:47 | 200 |     439.834µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 15:37:47 | 200 |     587.167µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 15:37:49 | 204 |      90.458µs |             ::1 | OPTIONS  "/order"
[GIN] 2025/01/27 - 15:37:49 | 200 |   11.797958ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 15:37:49 | 200 |         524µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:12:19 | 204 |    3.191458ms |             ::1 | OPTIONS  "/order"
[GIN] 2025/01/27 - 16:12:19 | 200 |   79.254125ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:12:19 | 200 |     929.375µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:18:46 | 200 |   17.243667ms |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:18:46 | 200 |   17.417167ms |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:18:48 | 200 |   18.196042ms |             ::1 | POST     "/admin/reset-books"
[GIN] 2025/01/27 - 16:18:48 | 200 |     169.417µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:18:48 | 200 |    5.229583ms |             ::1 | POST     "/admin/reset-books"
[GIN] 2025/01/27 - 16:18:48 | 200 |     139.458µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:24:24 | 200 |    26.76775ms |             ::1 | POST     "/admin/reset-books"
[GIN] 2025/01/27 - 16:24:24 | 200 |    3.290292ms |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:24:24 | 200 |     4.10775ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |   12.653208ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |    6.060292ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |   13.296792ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |     17.8875ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |   23.368417ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |   25.043667ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |   29.579625ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |   53.200917ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:24 | 200 |    70.52775ms |             ::1 | POST     "/order"
[GIN] 2025/01/27 - 16:24:25 | 200 |     553.042µs |             ::1 | GET      "/books"
[GIN] 2025/01/27 - 16:33:38 | 404 |    1.853958ms |       127.0.0.1 | GET      "/?ide_webview_request_time=1737966818675"
[GIN] 2025/02/05 - 14:20:37 | 200 |   13.475042ms |             ::1 | GET      "/books"
[GIN] 2025/02/05 - 14:20:37 | 200 |    2.109166ms |             ::1 | GET      "/books"
[GIN] 2025/02/05 - 14:20:51 | 200 |     4.79425ms |             ::1 | GET      "/books"
[GIN] 2025/02/05 - 14:20:51 | 200 |     961.792µs |             ::1 | GET      "/books"
[GIN] 2025/02/05 - 14:21:00 | 200 |   21.815625ms |             ::1 | GET      "/books"
[GIN] 2025/02/05 - 14:21:00 | 200 |    1.917375ms |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:28:25 | 200 |    1.007625ms |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:28:25 | 200 |     282.417µs |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:29:58 | 204 |     254.166µs |             ::1 | OPTIONS  "/order"
[GIN] 2025/02/10 - 19:29:58 | 200 |    2.890167ms |             ::1 | POST     "/order"
[GIN] 2025/02/10 - 19:29:58 | 200 |     515.125µs |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:30:02 | 200 |     8.82025ms |             ::1 | POST     "/order"
[GIN] 2025/02/10 - 19:30:02 | 200 |     1.63575ms |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:45:27 | 200 |    5.341041ms |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:45:27 | 200 |     219.625µs |             ::1 | GET      "/books"
[GIN] 2025/02/10 - 19:45:29 | 200 |    2.132542ms |             ::1 | POST     "/order"
[GIN] 2025/02/10 - 19:45:29 | 200 |         181µs |             ::1 | GET      "/books"
